real_cm,raw_count,kept_count,rejected_count,geometric_reprojection_rmse_px,geometric_reprojection_median_px,geometric_reprojection_max_px,predicted_cm_median,position_bias_cm,position_rmse_cm,position_max_abs_error_cm,ray_axis_distance_median_cm,anomalous_fixed_line_position
-10.0,100,93,7,72.66664587464271,71.76610187943069,83.05762076896482,-9.817393525713703,0.1740022905259462,0.19994703832033647,0.47044448675273287,1.944522974411023,False
-8.0,100,88,12,27.478890687373667,27.561817146602152,28.344050100120946,-7.725083216090542,0.27769156406046674,0.27895871278960105,0.34235009562087804,0.7216587582575233,False
-6.0,100,95,5,3.8294738618689466,2.9012998793482816,9.686781269764957,-6.0664761556804265,-0.06360341023393763,0.0865137864427923,0.1773859168923222,0.06191238967596928,False
-4.0,100,100,0,32.64516531789443,33.14324673800328,35.97826175280126,-3.8201932127158384,0.16466997968668814,0.17741816799834018,0.2626164833811444,0.8748341339372907,False
-2.0,100,99,1,66.54605202950515,66.58090838347361,68.92470790176185,-2.5090056042648348,-0.5176628618688898,0.5237726705094978,0.6537768936656949,1.696001938074804,False
0.0,100,95,5,32.82498106457937,32.91767946486814,37.25287269233624,0.8504159792313335,0.8530879655107643,0.853661664440254,0.9346554414864294,0.7315543738259578,True
2.0,100,77,23,13.36109789191919,13.189469863495008,17.838653833411275,2.1196476198282115,0.11740147411958393,0.12222666068006385,0.19381689859014095,0.32977861781035506,False
4.0,100,84,16,2.3274315968985912,2.2566689272738376,4.0468127195538734,3.909247643739626,-0.0817200302127224,0.09257166315263862,0.15668446841376404,0.019028120189873675,False
6.0,100,93,7,19.435889517894278,19.446327411786843,22.10368088037554,6.823433516358943,0.8162245671764915,0.8184008796966099,0.930988660050982,0.14638047278782998,True
8.0,100,98,2,3.437154555058649,3.3453342724721518,5.798247791253427,7.866361621664591,-0.1284364732104318,0.1335575532080722,0.22870204887098566,0.030476432516550335,False
10.0,100,96,4,13.469190005951804,12.633360625213534,18.885559669369524,10.145110102678835,0.15219437929506738,0.15785603267257942,0.2523814183480333,0.3008874110126951,False
